car_id,license_plate,brand,model,year,vin,color,owner_id
1,003CD1 25,Kia,Optima,2009,SLCAWFLM40G4C1497,Шоколадный,314
2,KM714 74,Hyundai,Tucson,2022,M3FNLPNV1T8XG0200,Черный,437
3,ОM594 799,Toyota,RAV4,2014,S8A7F60X0VS700650,Васильковый,360
4,СУ056 52,Hyundai,Solaris,2023,JTNF1GPP449TD5595,Сливовый,891
5,ОA7789 154,Kia,Optima,2013,DE9YTC4G0BFSR6008,Пурпурный,282
6,006CD9 04,Lada,Vesta,2021,BB04VPM283UW26179,Пурпурный,653
7,Н200KТ 85,Hyundai,Creta,2016,GK3WUXA85CFE56218,Красный,821
8,9692BA 159,Toyota,Camry,2004,E2X6ABT30ZEWV0822,Красный,870
9,EР5498 57,Volkswagen,Golf,2001,YVA04SC02AT4J2801,Темный хаки,130
10,Х5895 25,Lada,Vesta,2024,HYT1T2UG4BPWD7245,Ярко-розовый,661
11,4778СM 03,Kia,Sportage,2012,V1HTLXWW1ZZW00612,Светло-голубой,973
12,EО9282 69,Volkswagen,Polo,2019,5RG8V21M6U3MR3718,Пурпурный,158
13,008D803 716,Hyundai,Creta,2011,SRKXP50W1BG9P9831,Темно-зеленый,455
14,УУ1601 18,Lada,Niva,2004,G2V18X1ZXA3XW6715,Оранжево-красный,543
15,Х740MK 40,Kia,Sportage,2010,UPVRV0JT963141051,Бледно-Бирюзовый,666
16,A7850 33,Kia,Rio,2003,1P40NJXA661BX3920,Фуксия,27
17,4753ТО 57,Toyota,Corolla,2016,VKGAN0RG4SJ8N2041,Серебряный,397
18,007CD4 10,Volkswagen,Polo,2008,P6CFWEVU6R8R16997,Желтый,794
19,5717MТ 11,Kia,Optima,2014,PKSZ6HH35ZSAJ8035,Красный,220
20,У744НA 80,Volkswagen,Jetta,2022,DBGPFL0V764P59111,Светло-голубой,939
21,ОУ8985 91,Hyundai,Solaris,2003,A5FNT8ZD113000734,Бледно-зеленый,139
22,M5972 102,Lada,Granta,2005,MMJAX705XHVKR4749,Античный Белый,921
23,EТ7178 45,Hyundai,Solaris,2025,XB6GU6WB3HN0B7580,Желто-зеленый,699
24,О9887 799,Kia,Optima,2011,MJHMZGVJ789DT1340,Античный Белый,727
25,009D627 81,Lada,Niva,2017,5DGRF2802XFUN4844,Зеленый,298
26,B686EХ 88,Kia,Rio,2022,F4W2TMG26399V5316,Оранжевый,727
27,KK3727 16,Toyota,Corolla,2016,TAJKWNTC9D1YB1121,Светло-серый,230
28,С6615 152,Lada,Vesta,2025,NZMZSRENX2ABM6541,Шоколадный,143
29,E690НТ 50,Toyota,Corolla,2000,RKBZAJV336EAW5203,Синий,370
30,003CD2 04,Volkswagen,Jetta,2014,DURUJ9VXXMBX08626,Светло-синий,823
31,Х0320 82,Volkswagen,Tiguan,2019,XVEHV61T7HNPX2833,Темно-зеленый,906
32,ОE2770 113,Lada,Vesta,2009,GMDMNXD41ANV22732,Темно-бирюзовый,408
33,004CD0 27,Hyundai,Tucson,2013,MMMJTEVW4TX5P0411,Бирюзовый,788
34,4673СО 60,Hyundai,Tucson,2002,R1KHZGUY15AJM3322,Тусклый серый,129
35,7006EK 48,Kia,Optima,2002,LHATH3YT3D4690895,Сливовый,461
36,K980ХB 142,Hyundai,Tucson,2016,ZY6R0EFN2L5326890,Коричневый,353
37,KK4356 197,Toyota,RAV4,2020,29VYAZW52UPWJ5659,Тусклый серый,602
38,Н9955 06,Toyota,Camry,2013,MLFR96V865ENA4854,Розовый,515
39,EХ2078 82,Lada,Vesta,2016,A5SL75B66JL044574,Фиолетовый,157
40,AУ769 48,Kia,Rio,2005,WC2Z0K4C3AJJ15321,Красный,331
41,009CD3 80,Toyota,Corolla,2016,EJ2G6B63XL42J5257,Белый,917
42,Т1232 58,Kia,Rio,2008,KT1668DKXX5CD3485,Светло-желтый,202
43,006T276 94,Volkswagen,Jetta,2004,T6BYFJ9856DZ61202,Темно-серый,641
44,B948AE 186,Kia,Optima,2017,45RTKPAC33Z051919,Бледно-зеленый,96
45,KН831 77,Volkswagen,Tiguan,2018,0EUSY4K5668ZX7103,Темно-красный,965
46,Н133EA 44,Volkswagen,Tiguan,2005,HGPU2Y5G54YWN8765,Цвет морской волны,675
47,005CD7 126,Volkswagen,Jetta,2026,E5RD8S2C44LV27811,Темно-синий,947
48,3066РA 03,Volkswagen,Polo,2026,NHSSSF9F2Y7L13700,Бирюзовый,885
49,Т140СО 136,Lada,Vesta,2001,FBDKD2SM0CAFW8744,Темно-розовый,972
50,9722СН 92,Volkswagen,Jetta,2020,0PMHNL8D42DKA9196,Серебряный,216
51,ОР873 68,Volkswagen,Golf,2019,C0F23GFT5KTTH4758,Светло-синий,655
52,Х4163 79,Lada,Granta,2020,693SE7WM3XS385297,Темный хаки,559
53,СM8114 45,Kia,Optima,2009,6PVB8KDR5R87K1168,Золотой,495
54,K118ТE 69,Toyota,RAV4,2012,2MMMHRNG6RZGE2683,Хаки,305
55,B0344 55,Hyundai,Solaris,2022,HMNTU21E9T90Y0119,Серебряный,62
56,KС974 84,Toyota,Corolla,2013,7VDREP4L6G26T7093,Бледно-Бирюзовый,496
57,AС1364 04,Hyundai,Solaris,2010,FHGHCXW31MM8K0627,Фиолетовый,622
58,ТН496 174,Toyota,Corolla,2022,MJ96XNU93118T7528,Красный,327
59,007CD3 50,Kia,Sportage,2004,KWJLBEL84AUHZ6383,Светло-желтый,779
60,Х0017 03,Kia,Optima,2017,W79JMVS58KJ6J3049,Малиновый,109
61,003T552 92,Kia,Rio,2014,CDXAXNSY849TL9813,Золотой,126
62,УР1158 88,Kia,Sportage,2007,5W3H51Y80KSGG1611,Золотой,145
63,001T198 142,Lada,Vesta,2009,4WPKBKYD9FYXJ8852,Светло-серый,969
64,007T700 799,Hyundai,Tucson,2013,80MFBM7A2AASX1808,Светло-зеленый,255
65,9666ХA 26,Toyota,Corolla,2018,UPDDPW5T5711C4682,Бледно-Бирюзовый,739
66,000D907 11,Kia,Rio,2024,FY4ZTUEA7ZFHZ0709,Темно-оранжевый,164
67,6748РО 33,Hyundai,Tucson,2014,TN4XJHMS3XSPH5726,Синий,511
68,8179MР 98,Kia,Sportage,2000,N13CKM905SE4D0262,Шоколадный,93
69,004D525 77,Hyundai,Tucson,2014,EF13WG3R0ZM003516,Темно-оранжевый,990
70,О5125 37,Toyota,Camry,2018,X24NDSTD5EDG93276,Коралловый,362
71,6283РE 91,Lada,Vesta,2009,YBBMD73E4K0DG3700,Лазурный,507
72,ХР433 82,Volkswagen,Golf,2009,C8ZDHPS6X1HWE2578,Ярко-розовый,550
73,Т176ТУ 96,Lada,Vesta,2013,2RJPNKK06EWAU1578,Темно-красный,138
74,Н273УТ 174,Kia,Optima,2011,PDG9D3EW8DD6P9978,Аквамарин,783
75,EB965 163,Hyundai,Creta,2001,629M1SUU8WEKY8606,Зеленый,411
76,B9986 44,Lada,Niva,2017,0N61EMBK207LN2762,Светло-зеленый,200
77,K4396 41,Kia,Optima,2009,GMJ1CNLJ4C5X46565,Розовато-лавандовый,76
78,K0210 26,Hyundai,Tucson,2014,WDRREANR8DJZV7322,Темно-оранжевый,783
79,9166AB 24,Volkswagen,Jetta,2026,31KUS2VD1VCXZ2644,Тусклый серый,639
80,4176AТ 05,Volkswagen,Polo,2004,CY7TJP714HTUK4573,Темный хаки,999
81,K8780 58,Lada,Granta,2011,9Z2MRUN68KVV68378,Светло-розовый,814
82,7434НA 70,Kia,Optima,2011,ZLDZ3SALXZRHS0230,Фиолетовый,774
83,4343НM 87,Toyota,Camry,2019,SMB8B7NRX513D0387,Темно-розовый,522
84,ОТ6604 14,Hyundai,Tucson,2001,DXSGVHWU26BB89116,Фиолетовый,47
85,AK5586 82,Lada,Vesta,2022,533K8LEDXTS173528,Белый,342
86,СН002 159,Hyundai,Tucson,2014,XC1725BJ16P4R5718,Красный,153
87,009CD4 93,Volkswagen,Tiguan,2010,CSP3NM875V6ZU9396,Бирюзовый,954
88,001D708 102,Volkswagen,Jetta,2005,K0DAP2Y74ED959612,Цвет морской волны,403
89,MТ220 48,Volkswagen,Jetta,2018,34DX5XYP30VG18856,Золотой,345
90,B2620 41,Volkswagen,Golf,2022,4RP5ULY66U4562118,Коричневый,577
91,002T399 91,Kia,Sportage,2026,C4BLNZY948JMU0623,Светло-серый,18
92,008T910 196,Kia,Sportage,2021,7S4JN2NA8DU181120,Серый,113
93,BХ4460 92,Hyundai,Tucson,2009,5Y7G3FHU7N2S19544,Светло-розовый,816
94,005T806 88,Lada,Niva,2015,WGMSUEN34H6K07429,Бледно-зеленый,272
95,4957УР 75,Volkswagen,Tiguan,2023,BLCJWSR627SJY9530,Шоколадный,53
96,1746СН 03,Volkswagen,Golf,2005,9R9VR68R8U1CK6286,Светло-желтый,537
97,4689УУ 72,Volkswagen,Golf,2004,X38SPRAYX5PY97402,Темно-голубой,842
98,Х524EK 60,Toyota,Camry,2018,0MR31LKR5P4M01721,Античный Белый,971
99,003D531 35,Lada,Vesta,2000,8ZHPT2ME998164232,Коралловый,452
100,4314ХУ 716,Kia,Sportage,2004,H2YZEGCWXK3077982,Коричневый,423
101,С3137 85,Toyota,Corolla,2016,6Z713R0K0UDMP2657,Розовато-лавандовый,794
102,Р5263 152,Volkswagen,Golf,2023,Z0CY0LKJ2L85W2253,Светло-синий,745
103,002T805 11,Lada,Niva,2004,FGMPEBZX0SXUR2047,Золотой,532
104,008CD2 92,Toyota,RAV4,2010,YKLZV6945DRPC7531,Сине-фиолетовый,679
105,ХE2107 52,Hyundai,Tucson,2012,6GGE181R30RKN1445,Сливовый,322
106,M3319 98,Toyota,Corolla,2017,78PEEFHV5W2622969,Цвет морской волны,351
107,Х434MТ 81,Volkswagen,Jetta,2021,PNT5Z6XZ7P0YG6021,Темно-голубой,791
108,О8274 11,Kia,Optima,2015,DD8AABEL81JVD4807,Бледно-Бирюзовый,197
109,M687MР 799,Toyota,Corolla,2017,YG1W2ESR51VR96560,Васильковый,306
110,1282BТ 38,Toyota,Corolla,2024,ZTAXGV9U6C1KP4393,Оранжево-красный,296
111,9206ОУ 68,Toyota,RAV4,2022,3HNE7BCG1H68K4358,Фиолетовый,501
112,Н2421 07,Kia,Sportage,2011,RFW6X2KE36TMN6481,Фуксия,574
113,005T942 116,Kia,Sportage,2003,FYC7DTCS8YSWU5972,Светло-синий,588
114,Р5935 74,Volkswagen,Golf,2012,5DK6YG5N0KBUY3808,Шоколадный,839
115,KТ761 763,Kia,Rio,2009,23756E7M2JBCT4804,Темный хаки,44
116,Т1499 03,Kia,Optima,2002,61S7RGW28MXE24991,Золотой,355
117,Т7367 34,Hyundai,Tucson,2008,3S83BCWB04PZR6432,Светло-зеленый,766
118,2459РB 763,Hyundai,Solaris,2006,PVCAYW1887WYD1549,Оранжевый,848
119,ХО968 60,Volkswagen,Jetta,2017,TZT53MXC4JDCT5867,Темно-оранжевый,713
120,РA6327 68,Kia,Rio,2003,YUNSGMVR4GV6N6949,Тусклый серый,631
121,003T474 56,Volkswagen,Tiguan,2007,39G2PFVY3HSLE2908,Оранжево-красный,52
122,5037НM 08,Volkswagen,Tiguan,2020,X1PEDCPS38FTR9329,Темно-бирюзовый,239
123,000T407 91,Lada,Vesta,2013,WD4H6N1R3L7303240,Зеленый,339
124,СK9633 51,Hyundai,Solaris,2021,SWHUHSU30CXG83327,Темно-розовый,790
125,0941AB 05,Toyota,Camry,2017,BYU3X8L89WXXC6484,Светло-синий,952
126,KA144 39,Toyota,Corolla,2020,LVPHXDM20BW2S5260,Светло-синий,958
127,Н7071 92,Hyundai,Creta,2020,8ABFS7D80GPK72377,Розовый,205
128,003CD7 72,Kia,Sportage,2009,ZV1MZ1Y572UH30651,Хаки,662
129,Р847СХ 49,Lada,Vesta,2020,ZC1EGNWD0JG9X6540,Малиновый,588
130,9031РС 82,Toyota,RAV4,2023,FRGF6UYL8H3LD9844,Аквамарин,741
131,EУ756 02,Lada,Vesta,2013,M0U48PAD2SRCE0299,Аквамарин,904
132,3565MA 43,Toyota,Camry,2026,2V8NH4BW90ND63201,Светло-серый,407
133,AA2318 25,Hyundai,Solaris,2023,3R94K83F7JVDN0548,Ярко-розовый,986
134,Т3982 50,Kia,Rio,2000,MLF7P6AY0UH9N2382,Сине-фиолетовый,306
135,2557УО 87,Volkswagen,Polo,2010,6MM3F4Z80KGZW9695,Золотой,292
136,У048СM 93,Hyundai,Tucson,2017,L2Z9GJTJ7VTPN0350,Бирюзовый,537
137,ТХ5588 716,Hyundai,Solaris,2016,4Z90VVMKXHPBP7777,Темно-красный,480
138,002CD3 84,Kia,Rio,2025,V0JFXX323PJKT7045,Индиго,116
139,ХB6239 60,Kia,Rio,2023,TY80MPEM7VG2R0276,Темно-бирюзовый,470
140,E727ОН 136,Kia,Optima,2005,5JP8CH7Y7PMFJ0054,Тусклый серый,15
141,ТН6216 38,Kia,Sportage,2018,DPXTTZ4N82ZT40491,Темно-красный,691
142,BР557 57,Toyota,Camry,2019,A6WEESR373ZN29316,Синий,877
143,Н839BB 22,Hyundai,Creta,2016,PDB3ASJ49DUFY0933,Светло-розовый,336
144,E388УР 85,Lada,Granta,2021,A5DKJV7T8H91E7663,Темно-бирюзовый,98
145,2426ОM 178,Toyota,Camry,2015,H0TKH2GW1UTFV8327,Светло-желтый,332
146,008D187 77,Toyota,Camry,2008,KHAKRV6K7MF6L4693,Темно-розовый,393
147,О2394 102,Toyota,Corolla,2024,0R1RHRRT3B90F8118,Бледно-зеленый,274
148,002T468 79,Kia,Sportage,2018,9B4EWDEY35DZT8406,Хаки,741
149,ХС7830 48,Volkswagen,Polo,2008,MLRLVSPW44NM58680,Красный,670
150,ОУ644 48,Kia,Optima,2007,DTEAW3PT6CGGB1465,Лазурный,64
151,M186РM 177,Lada,Granta,2009,7P94FL66XMTP79850,Темно-зеленый,164
152,НС081 48,Hyundai,Tucson,2016,CBBZXUTD2H9DD2790,Светло-серый,946
153,A089BХ 79,Kia,Optima,2003,33P096HN7P2M97496,Слоновая кость,655
154,Х599ОB 23,Kia,Sportage,2019,JDLZC3K10E3U57751,Античный Белый,227
155,2168ТР 750,Toyota,Camry,2015,MCW8JVF0X9VJF0431,Фиолетовый,157
156,E665ОA 32,Hyundai,Tucson,2019,ECS6TNMZ0WLMM0624,Коралловый,383
157,Р0367 113,Hyundai,Tucson,2017,0WL811NU11LW58706,Серебряный,935
158,E816РХ 37,Hyundai,Tucson,2025,BFPCEE2P8L6TM4849,Слоновая кость,681
159,Р321ХС 41,Toyota,Camry,2021,30HBSGTM603K55190,Серебряный,773
160,005CD4 94,Volkswagen,Polo,2016,Z3L74ECJ5TCF16533,Темно-фиолетовый,458
161,Х4370 01,Volkswagen,Jetta,2002,J8SGEVV32HV482170,Белый,940
162,НХ833 799,Volkswagen,Polo,2001,6VPR7WRV87YFF5059,Аквамарин,849
