fine_id,car_id,date,violation,amount,status
1,77,2025-01-25,Нарушение правил парковки (12.19 КоАП),1500,не оплачен
2,782,2025-03-30,Непристегнутый ремень (12.6 КоАП),1000,оплачен
3,685,2025-03-06,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
4,854,2025-07-20,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
5,465,2025-11-16,Превышение скорости (12.9 ч.2 КоАП),500,не оплачен
6,24,2024-09-22,Непристегнутый ремень (12.6 КоАП),1000,оплачен
7,111,2024-04-16,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
8,654,2023-11-23,Превышение скорости (12.9 ч.2 КоАП),500,оплачен
9,670,2024-08-12,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
10,314,2025-12-09,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
11,913,2025-03-23,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
12,1034,2024-09-27,Непристегнутый ремень (12.6 КоАП),1000,оплачен
13,594,2024-03-23,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
14,271,2025-12-01,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
15,1171,2024-03-14,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,не оплачен
16,818,2023-06-27,Непристегнутый ремень (12.6 КоАП),1000,оплачен
17,1028,2024-04-10,Выезд на встречную полосу (12.15 ч.4 КоАП),5000,оплачен
18,277,2026-01-14,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
19,1000,2024-12-20,Проезд на запрещающий сигнал (12.12 ч.1 КоАП),1000,оплачен
20,402,2023-08-19,Непристегнутый ремень (12.6 КоАП),1000,оплачен
21,505,2025-11-29,Непристегнутый ремень (12.6 КоАП),1000,оплачен
22,881,2025-09-26,Нарушение правил парковки (12.19 КоАП),1500,оплачен
23,184,2025-09-14,Непристегнутый ремень (12.6 КоАП),1000,оплачен
