policy_id,car_id,company,start_date,end_date,cost
1,83,Росгосстрах,2025-11-15,2026-11-15,15167
2,344,Ингосстрах,2026-01-09,2027-01-09,15558
3,556,Т-Страхование,2024-05-09,2025-05-09,8780
4,339,Росгосстрах,2025-03-10,2026-03-10,6193
5,904,АльфаСтрахование,2024-06-26,2025-06-26,7889
6,785,Росгосстрах,2025-07-30,2026-07-30,22589
7,90,Т-Страхование,2025-10-27,2026-10-27,23371
8,372,Ингосстрах,2024-07-17,2025-07-17,9620
9,503,Т-Страхование,2025-10-24,2026-10-24,19347
10,803,Т-Страхование,2024-07-03,2025-07-03,15483
11,406,АльфаСтрахование,2024-05-24,2025-05-24,23607
12,1161,АльфаСтрахование,2024-12-31,2025-12-31,23924
13,208,Т-Страхование,2024-11-23,2025-11-23,16159
14,1175,Росгосстрах,2024-12-03,2025-12-03,16880
15,1029,Ингосстрах,2025-10-11,2026-10-11,8837
16,1196,Ингосстрах,2025-12-06,2026-12-06,21801
17,376,Ингосстрах,2025-11-08,2026-11-08,18678
18,606,Росгосстрах,2024-07-16,2025-07-16,7186
19,1084,Росгосстрах,2024-07-31,2025-07-31,12612
20,553,Т-Страхование,2024-11-19,2025-11-19,19805
21,94,Росгосстрах,2025-02-07,2026-02-07,18849
22,220,Т-Страхование,2024-08-17,2025-08-17,24724
23,440,Ингосстрах,2025-07-20,2026-07-20,21069
24,489,Росгосстрах,2026-01-22,2027-01-22,5960
25,812,АльфаСтрахование,2024-06-18,2025-06-18,21327
26,10,Т-Страхование,2024-05-11,2025-05-11,10507
27,145,Ингосстрах,2024-12-16,2025-12-16,6199
28,1149,АльфаСтрахование,2026-03-12,2027-03-12,9485
29,806,Росгосстрах,2025-05-10,2026-05-10,18095
30,509,Ингосстрах,2024-07-20,2025-07-20,6507
31,704,Ингосстрах,2025-03-15,2026-03-15,17771
32,586,Ингосстрах,2026-04-17,2027-04-17,5664
33,230,Т-Страхование,2025-09-17,2026-09-17,16377
34,350,Ингосстрах,2024-05-13,2025-05-13,7006
35,17,Росгосстрах,2025-04-10,2026-04-10,19886
36,750,Ингосстрах,2025-06-02,2026-06-02,5805
37,600,АльфаСтрахование,2026-02-01,2027-02-01,15668
38,922,Росгосстрах,2026-02-21,2027-02-21,14454
39,192,АльфаСтрахование,2024-11-10,2025-11-10,20459
40,995,Росгосстрах,2024-10-26,2025-10-26,7480
41,739,АльфаСтрахование,2024-12-16,2025-12-16,11342
42,1067,Т-Страхование,2025-11-18,2026-11-18,24578
43,277,АльфаСтрахование,2025-05-01,2026-05-01,24209
44,345,Росгосстрах,2025-12-24,2026-12-24,10049
45,494,Росгосстрах,2024-09-13,2025-09-13,7632
46,1134,Т-Страхование,2025-05-01,2026-05-01,14108
47,93,Росгосстрах,2025-03-17,2026-03-17,21244
48,517,АльфаСтрахование,2024-08-06,2025-08-06,9698
49,792,АльфаСтрахование,2026-02-20,2027-02-20,22583
50,518,АльфаСтрахование,2024-08-14,2025-08-14,10478
51,459,Т-Страхование,2025-10-23,2026-10-23,17597
52,85,АльфаСтрахование,2024-08-12,2025-08-12,15468
53,773,Т-Страхование,2025-07-28,2026-07-28,9541
54,572,Ингосстрах,2025-08-13,2026-08-13,9768
55,586,Т-Страхование,2024-09-26,2025-09-26,10643
56,284,АльфаСтрахование,2025-12-21,2026-12-21,18887
57,587,Т-Страхование,2024-08-22,2025-08-22,9890
58,1028,АльфаСтрахование,2025-03-07,2026-03-07,13027
59,450,Ингосстрах,2025-08-02,2026-08-02,12735
60,325,Т-Страхование,2025-07-14,2026-07-14,6441
61,445,АльфаСтрахование,2025-04-21,2026-04-21,9461
62,308,Т-Страхование,2024-11-09,2025-11-09,15823
63,769,Росгосстрах,2025-05-14,2026-05-14,21347
64,725,АльфаСтрахование,2025-11-25,2026-11-25,15000
65,558,Росгосстрах,2026-02-13,2027-02-13,19954
66,449,Росгосстрах,2025-10-12,2026-10-12,21620
67,172,Росгосстрах,2024-10-25,2025-10-25,23818
68,294,Ингосстрах,2025-10-19,2026-10-19,9661
69,574,Росгосстрах,2024-11-04,2025-11-04,10588
70,896,АльфаСтрахование,2024-05-19,2025-05-19,16672
71,1009,Ингосстрах,2025-09-02,2026-09-02,10273
72,282,АльфаСтрахование,2026-03-07,2027-03-07,9880
73,64,АльфаСтрахование,2025-10-01,2026-10-01,24289
74,1004,Ингосстрах,2024-11-12,2025-11-12,22931
75,74,Росгосстрах,2025-09-27,2026-09-27,24861
76,361,АльфаСтрахование,2025-12-16,2026-12-16,18353
77,907,Т-Страхование,2025-08-21,2026-08-21,22485
78,754,Росгосстрах,2025-08-05,2026-08-05,14030
79,716,Ингосстрах,2025-09-28,2026-09-28,13835
80,639,Ингосстрах,2024-12-30,2025-12-30,13957
81,627,АльфаСтрахование,2024-07-12,2025-07-12,24675
82,949,АльфаСтрахование,2025-05-04,2026-05-04,21031
83,301,Т-Страхование,2024-11-30,2025-11-30,23420
84,386,АльфаСтрахование,2025-08-23,2026-08-23,12573
85,419,Ингосстрах,2025-05-31,2026-05-31,22464
86,437,АльфаСтрахование,2024-12-15,2025-12-15,20898
87,723,Ингосстрах,2024-06-25,2025-06-25,19660
88,449,Т-Страхование,2024-10-25,2025-10-25,22739
89,697,Росгосстрах,2025-01-26,2026-01-26,12597
90,402,Росгосстрах,2024-05-25,2025-05-25,8509
91,798,Ингосстрах,2026-04-04,2027-04-04,12064
92,234,АльфаСтрахование,2025-09-05,2026-09-05,18766
93,517,Ингосстрах,2025-08-18,2026-08-18,17492
94,775,Т-Страхование,2024-05-25,2025-05-25,16534
95,908,Росгосстрах,2026-03-16,2027-03-16,16610
96,979,Росгосстрах,2026-02-03,2027-02-03,20690
97,192,Ингосстрах,2025-05-20,2026-05-20,7845
98,1106,АльфаСтрахование,2024-08-08,2025-08-08,12536
99,464,АльфаСтрахование,2024-04-25,2025-04-25,16994
100,810,АльфаСтрахование,2025-05-04,2026-05-04,17187
101,690,Росгосстрах,2024-07-06,2025-07-06,9010
102,422,Ингосстрах,2026-03-28,2027-03-28,23056
103,625,Росгосстрах,2026-01-24,2027-01-24,6803
104,498,Ингосстрах,2025-05-10,2026-05-10,7725
105,160,АльфаСтрахование,2025-07-20,2026-07-20,19454
106,395,АльфаСтрахование,2025-02-10,2026-02-10,5774
107,263,АльфаСтрахование,2024-10-16,2025-10-16,6050
108,171,Т-Страхование,2024-06-02,2025-06-02,12487
109,1107,АльфаСтрахование,2025-10-07,2026-10-07,9131
110,881,Росгосстрах,2026-02-28,2027-02-28,18002
111,1104,Т-Страхование,2024-07-06,2025-07-06,23228
112,848,Т-Страхование,2025-01-26,2026-01-26,12548
113,2,Т-Страхование,2025-04-17,2026-04-17,5540
114,847,Ингосстрах,2024-05-23,2025-05-23,22823
115,1106,Т-Страхование,2024-08-09,2025-08-09,12482
116,1044,Т-Страхование,2026-02-20,2027-02-20,15248
117,880,Росгосстрах,2026-02-20,2027-02-20,23879
118,347,Ингосстрах,2024-11-25,2025-11-25,23813
119,166,Росгосстрах,2024-10-16,2025-10-16,5589
120,264,Ингосстрах,2026-03-12,2027-03-12,24066
121,426,АльфаСтрахование,2025-11-23,2026-11-23,15480
122,30,АльфаСтрахование,2024-11-10,2025-11-10,9796
123,908,Ингосстрах,2025-08-01,2026-08-01,11238
124,264,Т-Страхование,2025-02-02,2026-02-02,24877
125,594,Т-Страхование,2024-05-16,2025-05-16,11262
126,258,Росгосстрах,2024-05-05,2025-05-05,7679
127,497,Росгосстрах,2024-05-14,2025-05-14,17986
128,662,АльфаСтрахование,2024-04-30,2025-04-30,11604
129,352,АльфаСтрахование,2025-09-26,2026-09-26,24678
130,803,Росгосстрах,2026-02-25,2027-02-25,8202
131,1143,Т-Страхование,2025-10-11,2026-10-11,17457
132,634,Росгосстрах,2026-03-02,2027-03-02,7421
133,695,Росгосстрах,2025-04-11,2026-04-11,17627
134,601,Ингосстрах,2026-04-06,2027-04-06,18528
135,683,АльфаСтрахование,2025-01-14,2026-01-14,11287
136,851,Ингосстрах,2024-11-07,2025-11-07,24494
137,968,АльфаСтрахование,2025-07-25,2026-07-25,19173
138,1198,Росгосстрах,2024-07-19,2025-07-19,6696
139,1080,Росгосстрах,2026-01-24,2027-01-24,5116
140,578,Т-Страхование,2025-04-22,2026-04-22,5101
141,408,АльфаСтрахование,2025-12-04,2026-12-04,10251
142,853,Росгосстрах,2025-12-26,2026-12-26,5420
143,1082,Ингосстрах,2025-01-23,2026-01-23,11218
144,1154,Росгосстрах,2026-03-27,2027-03-27,11593
145,548,Т-Страхование,2026-03-24,2027-03-24,13033
146,242,Росгосстрах,2024-10-18,2025-10-18,16964
147,436,АльфаСтрахование,2024-06-19,2025-06-19,8304
148,330,Росгосстрах,2025-12-06,2026-12-06,15191
149,558,АльфаСтрахование,2025-09-15,2026-09-15,21478
150,297,АльфаСтрахование,2025-10-02,2026-10-02,18792
151,256,Т-Страхование,2025-02-14,2026-02-14,6089
152,175,Росгосстрах,2025-12-02,2026-12-02,21123
153,304,АльфаСтрахование,2025-11-09,2026-11-09,22420
154,352,Росгосстрах,2024-07-07,2025-07-07,9142
155,194,Росгосстрах,2024-11-29,2025-11-29,8190
156,742,Росгосстрах,2024-12-11,2025-12-11,5186
157,850,Росгосстрах,2024-06-01,2025-06-01,24644
158,1004,Ингосстрах,2024-10-12,2025-10-12,23460
159,988,Росгосстрах,2026-02-25,2027-02-25,14224
160,317,Росгосстрах,2025-09-01,2026-09-01,24058
161,897,Т-Страхование,2024-06-18,2025-06-18,18283
162,874,АльфаСтрахование,2024-10-03,2025-10-03,8360
163,68,Росгосстрах,2026-02-27,2027-02-27,24773
164,635,Ингосстрах,2024-05-11,2025-05-11,11590
165,158,Ингосстрах,2025-03-06,2026-03-06,9574
166,276,АльфаСтрахование,2025-12-03,2026-12-03,17571
167,670,АльфаСтрахование,2024-11-30,2025-11-30,10388
168,969,Росгосстрах,2026-03-25,2027-03-25,13471
169,987,АльфаСтрахование,2024-04-25,2025-04-25,16340
170,27,Т-Страхование,2025-10-17,2026-10-17,17386
171,313,АльфаСтрахование,2025-09-08,2026-09-08,12477
172,261,Т-Страхование,2025-06-05,2026-06-05,17204
173,81,Ингосстрах,2026-03-28,2027-03-28,15113
174,532,АльфаСтрахование,2024-05-09,2025-05-09,7725
175,1015,Ингосстрах,2025-07-20,2026-07-20,24041
176,439,Т-Страхование,2025-05-29,2026-05-29,5297
177,151,Т-Страхование,2026-02-04,2027-02-04,7677
178,894,Т-Страхование,2025-04-22,2026-04-22,17565
179,458,Росгосстрах,2025-12-13,2026-12-13,20889
180,410,Т-Страхование,2025-05-01,2026-05-01,10329
181,312,Ингосстрах,2025-06-13,2026-06-13,20763
182,763,Ингосстрах,2025-10-31,2026-10-31,22388
183,494,Т-Страхование,2025-04-15,2026-04-15,11833
184,244,Т-Страхование,2026-04-01,2027-04-01,6069
185,210,АльфаСтрахование,2025-05-08,2026-05-08,21821
